id,categoria,titulo,texto,nivel,epoca
1,Introducción,Qué es la mecánica cuántica,La mecánica cuántica es una rama fundamental de la física que estudia el comportamiento de la materia y la energía a escalas extremadamente pequeñas como átomos y partículas subatómicas. Surge cuando la física clásica deja de ser suficiente para explicar ciertos fenómenos observados experimentalmente,básico,Siglo XX
2,Historia,Problemas de la física clásica,"A finales del siglo XIX varios experimentos mostraron resultados que no podían ser explicados mediante las leyes de la física clásica, lo que generó una crisis conceptual que dio origen a nuevas teorías",básico,Finales del siglo XIX
3,Historia,Cuantos de energía,"El concepto de cuanto de energía propone que la energía no se intercambia de manera continua sino en paquetes discretos, lo cual fue clave para explicar la radiación del cuerpo negro",básico,1900
4,Historia,Inicio de la teoría cuántica,El inicio formal de la teoría cuántica se asocia con la introducción de ideas revolucionarias que rompieron con la noción clásica de continuidad en los procesos físicos,básico,1900
5,Concepto básico,Dualidad onda partícula,La dualidad onda partícula establece que entidades como electrones o fotones pueden mostrar comportamientos tanto de ondas como de partículas dependiendo del experimento realizado,básico,Década de 1920
6,Concepto básico,Superposición cuántica,La superposición indica que un sistema cuántico puede existir en múltiples estados posibles al mismo tiempo hasta que se realiza una medición,intermedio,Siglo XX
7,Concepto básico,Estado cuántico,El estado cuántico describe completamente un sistema físico y contiene toda la información necesaria para predecir probabilidades de medición,intermedio,Siglo XX
8,Concepto básico,Función de onda,La función de onda es una representación matemática que permite describir el estado de un sistema cuántico y calcular la probabilidad de encontrar una partícula en una región determinada,intermedio,1926
9,Concepto básico,Interpretación probabilística,En mecánica cuántica los resultados no se predicen de forma determinista sino mediante probabilidades asociadas a cada posible resultado,intermedio,Siglo XX
10,Concepto básico,Principio de incertidumbre,El principio de incertidumbre establece que existen límites fundamentales para la precisión con la que pueden conocerse simultáneamente ciertas magnitudes físicas como posición y momento,intermedio,1927
11,Concepto básico,Medición cuántica,El proceso de medición en mecánica cuántica no es pasivo sino que altera el estado del sistema observado,avanzado,Siglo XX
12,Historia,Desarrollo de la mecánica ondulatoria,La formulación ondulatoria de la mecánica cuántica permitió describir el comportamiento de las partículas usando ecuaciones diferenciales,avanzado,1920s
13,Historia,Formulación matricial,La formulación matricial fue una de las primeras versiones matemáticas de la mecánica cuántica y utilizó matrices para describir observables físicos,avanzado,1925
14,Historia,Interpretación de Copenhague,Esta interpretación sostiene que las propiedades físicas no existen con valores definidos antes de ser medidas y que la función de onda colapsa al observar el sistema,intermedio,1920s
15,Concepto avanzado,Colapso de la función de onda,"El colapso describe el cambio abrupto del estado cuántico cuando se realiza una medición,concepto clave en debates filosóficos de la física",avanzado,Siglo XX
16,Concepto avanzado,Entrelazamiento cuántico,El entrelazamiento ocurre cuando dos o más partículas comparten un mismo estado cuántico de forma que el estado de una afecta instantáneamente al de la otra,avanzado,Siglo XX
17,Concepto avanzado,No localidad,La no localidad se refiere a la correlación entre partículas entrelazadas incluso cuando están separadas por grandes distancias,avanzado,Siglo XX
18,Aplicación,Tecnologías cuánticas,"La mecánica cuántica es la base teórica de tecnologías modernas como láseres,semiconductores y resonancia magnética",intermedio,Siglo XX
19,Aplicación,Computación cuántica,La computación cuántica utiliza principios como superposición y entrelazamiento para procesar información de manera diferente a la computación clásica,intermedio,Finales del siglo XX
20,Aplicación,Criptografía cuántica,La criptografía cuántica permite sistemas de comunicación seguros basados en leyes fundamentales de la física,intermedio,Siglo XXI
21,Epistemología,Realidad en mecánica cuántica,La mecánica cuántica plantea preguntas profundas sobre la naturaleza de la realidad y el papel del observador en la descripción del mundo físico,avanzado,Siglo XX
22,Epistemología,Determinismo y probabilidad,A diferencia de la física clásica la mecánica cuántica introduce un enfoque probabilístico que desafía la idea de determinismo absoluto,intermedio,Siglo XX
23,Educación,Dificultad conceptual,La mecánica cuántica es conocida por su dificultad conceptual debido a que desafía la intuición basada en la experiencia cotidiana,básico,Siglo XX
24,Educación,Importancia académica,El estudio de la mecánica cuántica es fundamental en carreras científicas y tecnológicas por su impacto teórico y práctico,básico,Siglo XX
25,Síntesis,Alcance de la mecánica cuántica,La mecánica cuántica no solo explica fenómenos microscópicos sino que también impulsa avances tecnológicos y reflexiones filosóficas profundas,intermedio,Siglo XX
